OBJECTID,uuid,City,Surface_area,Potential_installable_area,Peak_installable_capacity,Energy_potential_per_year,Assumed_building_type,Estimated_tilt,Estimated_building_height,Estimated_capacity_factor,Estimated_Installation_Efficiency,Unit_installation_price,Date_added,aoi,Roof_quality,solar_panels,Comment
265,b9f5d2a3-bfbf-493c-9fce-fbef03e14a26,SouthAfrica,119.07,47.92,9.3,15743.85,Schools,26.01,,1693.37,132.23,,,Middelburg,,,
266,6bff917b-d0cb-4739-a9e1-d2dc04015903,SouthAfrica,11.24,0,0,0,Schools,19.05,,,0,,,Middelburg,,,
267,fa7e2caf-f759-4e51-85da-d9fe174b9620,SouthAfrica,53.31,18.41,3.57,5486.04,Schools,23.78,2.79,1535.72,102.9,,,Middelburg,,,
268,4b99b11e-2d9d-416f-988e-355104734557,SouthAfrica,916.55,631.41,122.49,149809.58,Schools,23.57,7,1223,163.45,,,Middelburg,,,
269,de2cd6b0-f7a8-494d-b7e2-9c4ba3c8b2ac,SouthAfrica,307.74,211.42,40.97,69394.2,Schools,22.58,6.48,1693.59,225.5,,,Middelburg,,,
270,733eef55-ec7c-4981-8f3e-59d2e67f9e3c,SouthAfrica,39.33,20.81,4.04,6590.9,Single-family residential,23.82,,1632.39,167.59,,,Middelburg,,,
271,f1eaccc3-2518-4448-8900-e1aba9d0ce41,SouthAfrica,16.18,6.56,1.27,2142.3,Single-family residential,25.93,,1683.4,132.4,,,Middelburg,,,
272,d888df72-cf6a-4fd0-a703-aad65bf6c873,SouthAfrica,3593.24,2453.88,476.05,849278.6,Industrial,28.05,10.07,1784,236.35,,,Middelburg,,,
273,60691612-71ca-476a-ae27-420b9925b56c,SouthAfrica,54.43,23.26,4.51,6588.81,Single-family residential,25.22,3.43,1460.12,121.04,,,Middelburg,,,
274,51984f21-3699-457d-917f-0a746901596c,SouthAfrica,13.97,4.97,0.96,1654.23,Single-family residential,17.87,,1716,118.4,,,Middelburg,,,
275,40025ddb-67b9-455d-8414-e9b3f842b5c2,SouthAfrica,9.55,2.11,0.41,627.16,Single-family residential,22.31,,1530.75,65.67,,,Middelburg,,,
276,5795dd6f-d1ec-4c49-a256-377adda9d1f6,SouthAfrica,30.45,15.15,2.94,4720.78,Single-family residential,25.97,,1606.4,155.04,,,Middelburg,,,
277,da2b0fbd-b488-4b86-ac8f-71b3082ac3c8,SouthAfrica,42.15,22.21,4.31,5929.08,Single-family residential,27.85,2.83,1376,140.66,,,Middelburg,,,
278,35060e7e-eb58-4d38-8f31-df85c4b24183,SouthAfrica,26.83,11.13,2.16,3382.12,Industrial,21.04,,1566.22,126.05,,,Middelburg,,,
279,27908518-aff0-4165-a29d-cee533aa23bc,SouthAfrica,41.75,12.13,2.35,2794.2,Single-family residential,33.64,,1187.69,66.93,,,Middelburg,,,
280,472b814c-1ae8-4c32-81d1-128103e2e45f,SouthAfrica,163.87,91.35,17.72,24730.76,Single-family residential,27.44,3.89,1395.51,150.91,,,Middelburg,,,
281,b30bff45-470a-44e6-b265-3a749e7ae626,SouthAfrica,10.43,3.69,0.72,1088.7,Industrial,16.49,,1521,104.33,,,Middelburg,,,
282,95bd5c5c-a8a1-4616-af06-483e8ab63f07,SouthAfrica,13.56,5.2,1.01,1493.03,Single-family residential,25.35,,1478.83,110.13,,,Middelburg,,,
283,18b4a6b3-746c-4ced-84c3-b1ab27238c3d,SouthAfrica,35.68,18.58,3.61,4374.83,Single-family residential,29.36,,1213.45,122.6,,,Middelburg,,,
284,85ff06c5-736b-452c-b075-024a84083474,SouthAfrica,70.22,30.48,5.91,7169.86,Industrial,21.89,,1212.68,102.1,,,Middelburg,,,
285,3bb735da-1c43-4e78-807d-214f413e0cfc,SouthAfrica,36.63,19.17,3.72,5993.38,Single-family residential,20.51,3.02,1611.41,163.64,,,Middelburg,,,
286,3b2611a3-fee1-43c3-8cd1-280e9e957264,SouthAfrica,40.4,20.37,3.95,6458.29,Industrial,19.72,2.68,1634.57,159.86,,,Middelburg,,,
287,af88e471-e953-4935-8617-5cffab7faca9,SouthAfrica,52.13,21.88,4.25,6171.24,Single-family residential,28.7,2.71,1452.09,118.39,,,Middelburg,,,
288,a4d7b661-7559-4c9c-a885-f77752865e9e,SouthAfrica,26.6,12.87,2.5,3047.95,Single-family residential,22.06,,1221,114.6,,,Middelburg,,,
289,c183720b-0c9e-4b11-802d-ad6275f7fa62,SouthAfrica,18.39,7.69,1.49,2110.19,Industrial,17.31,,1416,114.77,,,Middelburg,,,
290,9b33034d-be09-4f92-a413-fac30708cb9d,SouthAfrica,51.58,28.26,5.48,7436.8,Single-family residential,31.14,,1357.93,144.18,,,Middelburg,,,
291,bb5e695c-2b96-4815-ba02-fff02fc1db6a,SouthAfrica,13.16,2.37,0.46,680.98,Single-family residential,26.94,,1478.5,51.76,,,Middelburg,,,
292,97106e2c-79ce-40e7-be8e-da787a4cd759,SouthAfrica,61.5,33.78,6.55,10146.78,Single-family residential,23.12,,1549.78,164.98,,,Middelburg,,,
293,538b43bd-4cac-4d73-8b49-efec0ac6b621,SouthAfrica,44.49,24.31,4.72,7394.29,Single-family residential,22.95,,1566.57,166.2,,,Middelburg,,,
294,58b753bc-50ec-47dd-9546-09562aff8d64,SouthAfrica,10.15,3.08,0.6,889.67,Single-family residential,16.23,,1489.75,87.63,,,Middelburg,,,
