OBJECTID,uuid,City,Surface_area,Potential_installable_area,Peak_installable_capacity,Energy_potential_per_year,Assumed_building_type,Estimated_tilt,Estimated_building_height,Estimated_capacity_factor,Unit_installation_price,Date_added,Comment,aoi,roof_quality,Estimated_installation_efficiency
"14315",6523e020-0a85-4c87-a5fe-34342e8272f5,StMaarten,72.9300003051758,39.7000007629395,7.71999979019165,13080.98046875,Single-family residential,8.82999992370605,2.33999991416931,"1695",,,,Cole Bay,Good,179.350006103516
"14316",64e0582d-4a07-4726-a482-e62e0238aa1b,StMaarten,286.730010986328,147.5,28.5900001525879,45652.12109375,Single-family residential,13.3400001525879,3.25999999046326,"1596.93",,,,Cole Bay,Good,159.220001220703
"14317",2d36db86-3bd7-4b13-abab-72df817f5ea4,StMaarten,194.619995117188,85.6800003051758,16.6200008392334,25738.5703125,Single-family residential,10.6700000762939,3.98000001907349,"1548.42",,,,Cul-de-Sac,Good,132.25
"14318",9ae97bae-7366-4eec-9e02-192da4de5cdc,StMaarten,63.9300003051758,25.5400009155273,4.94999980926514,8235.1103515625,Single-family residential,0,2.92000007629395,"1662",,,,Cul-de-Sac,Good,128.820007324219
"14319",4b932389-b3d1-43c3-b29f-f0b053b3f0ef,StMaarten,73.0999984741211,24.8099994659424,4.80999994277954,8085.330078125,Single-family residential,19.2000007629395,2.1800000667572,"1679.84",,,,Upper Princes Quarter,Good,110.599998474121
"14320",8b525b51-8db4-4145-8769-4f92b20a10ec,StMaarten,268.200012207031,146.570007324219,28.4300003051758,48195.5390625,Single-family residential,0,3.41000008583069,"1695",,,,Cole Bay,Good,179.699996948242
"14321",8f503adf-287f-4abd-8917-7c8c1bdde0da,StMaarten,34.8199996948242,11.460000038147,2.22000002861023,3695.59008789062,Single-family residential,0,2.32999992370605,"1662",,,,Cul-de-Sac,Good,106.129997253418
"14322",f1eb87b4-0e31-4240-8599-0cdfb545d91f,StMaarten,38.7299995422363,15.3199996948242,2.97000002861023,4939.8701171875,Single-family residential,0,3.47000002861023,"1662",,,,Lower Princes Quarter,Good,127.540000915527
"14323",414a9a0e-2885-4c76-bcf9-3150c8509e84,StMaarten,114.680000305176,46.939998626709,9.10999965667725,15135,Single-family residential,0,2.58999991416931,"1662",,,,Cul-de-Sac,Good,131.979995727539
"14324",df5959e8-a985-4372-aaad-4e8ed3ae9bfe,StMaarten,44.6100006103516,22.1499996185303,4.30000019073486,7140.669921875,Single-family residential,0,2.14000010490417,"1662",,,,Cul-de-Sac,Good,160.080001831055
"14325",8e55e723-6b17-4601-a466-025da177ded4,StMaarten,26.1700000762939,11.5799999237061,2.25,3732.59008789062,Single-family residential,0,2.49000000953674,"1662",,,,Cul-de-Sac,Good,142.630004882812
"14326",90218c98-9227-48f5-bcd8-c9ee72cc6758,StMaarten,281.980010986328,109.220001220703,21.1900005340576,34368.53125,Single-family residential,11.6099996566772,5.94000005722046,"1621.96",,,,Cole Bay,Good,121.879997253418
"14327",a45a6bb5-0baa-4f2b-bfe1-5ec4e4fc36ac,StMaarten,250.639999389648,110.610000610352,21.4599990844727,35011.44140625,Single-family residential,14.1099996566772,5.07000017166138,"1631.59",,,,Cole Bay,Good,139.690002441406
"14328",03f35e05-da26-4a72-ac80-b06e699f1ac7,StMaarten,312.739990234375,181.240005493164,35.1599998474121,58437.23046875,Single-family residential,9.14000034332275,4.82000017166138,"1662",,,,Cul-de-Sac,Good,186.860000610352
"14329",691a6265-4c24-41ed-adad-d4627f1b4022,StMaarten,68.629997253418,13.7799997329712,2.67000007629395,4560.27978515625,Single-family residential,0,3.24000000953674,"1706",,,,Lower Princes Quarter,Good,66.4499969482422
"14330",17af55e6-97ca-4ba2-978f-e27477bfc0dd,StMaarten,220.020004272461,122.680000305176,23.7800006866455,37495.94140625,Single-family residential,16.6800003051758,4.71999979019165,"1577.01",,,,Cul-de-Sac,Good,170.419998168945
"14331",a69ca1b9-876a-47b9-be8d-2c365c44159b,StMaarten,95.0199966430664,30.0900001525879,5.84000015258789,9957.9296875,Single-family residential,0,2.5699999332428,"1706",,,,Lower Princes Quarter,Good,104.800003051758
"14332",eddd1f37-f4f3-46fd-a024-217d9787a6c5,StMaarten,39.5,2.73000001907349,0.529999971389771,874.309997558594,Single-family residential,13.539999961853,3.75,"1653",,,,Upper Princes Quarter,Good,22.1299991607666
"14333",cbbb1470-2511-40a6-8578-2149e2e72e95,StMaarten,108.309997558594,34.4799995422363,6.69000005722046,11115.8701171875,Single-family residential,0,,"1662",,,,Lower Princes Quarter,Good,102.629997253418
"14334",2e2d8c23-bbad-4acb-9dc8-642f89f2bde8,StMaarten,135.309997558594,81.6600036621094,15.8400001525879,26724.7109375,Single-family residential,12.6800003051758,2.15000009536743,"1687",,,,Cole Bay,Good,197.509994506836
"14335",a4633c51-9264-4d4c-b86f-b8653e2537de,StMaarten,77.3600006103516,43.7299995422363,8.47999954223633,13832.0703125,Single-family residential,15.0500001907349,3.75999999046326,"1630.47",,,,Cole Bay,Good,178.809997558594
