OBJECTID,uuid,City,Surface_area,Potential_installable_area,Peak_installable_capacity,Energy_potential_per_year,Assumed_building_type,Estimated_tilt,Estimated_building_height,Estimated_capacity_factor,Unit_installation_price,Date_added,Comment,aoi
"2435",44e56996-e5fe-4cda-8842-9e066bdab7b8,StLucia,112.569999694824,68.4800033569336,13.2799997329712,19555.240234375,Single-family residential,20.7099990844727,17.39,"1472.0",,2023-01-03T13:15:51.000,,Soufriere
"2436",864e7764-0d24-464a-a113-1ca7d031b237,StLucia,72.0199966430664,41.1500015258789,7.98000001907349,10981.0703125,Single-family residential,23.1599998474121,6.56,"1375.4",,2023-01-03T13:15:51.000,,Soufriere
"2437",e52ba765-251d-45c6-9336-bdcefb8ed413,StLucia,56.0800018310547,21.8199996948242,4.23000001907349,6462.27978515625,Single-family residential,20.2999992370605,6.01,"1526.74",,2023-01-03T13:15:51.000,,Soufriere
"2438",820f0c8f-1380-498f-bdc0-a429fb86f8d4,StLucia,104,63.2200012207031,12.2799997329712,18022.5703125,Single-family residential,22.9799995422363,,"1467.97",,2023-01-03T13:15:51.000,,Soufriere
"2439",2fed7014-fd99-47ae-9741-e2a5389fc284,StLucia,40.3800010681152,19.2999992370605,3.74000000953674,5697.72021484375,Single-family residential,22.7099990844727,2.52,"1522.0",,2023-01-03T13:15:51.000,,Soufriere
"2440",0eb9dacb-7389-4e35-b7a3-03e6a78fa962,StLucia,165.339996337891,90.0299987792969,17.4699993133545,26728.4609375,Single-family residential,24.1499996185303,7.87,"1530.31",,2023-01-03T13:15:51.000,,Soufriere
"2441",0ae821c6-73a6-447a-8f11-079b7f1f6ac3,StLucia,273.119995117188,197.220001220703,38.2599983215332,56706.6796875,Single-family residential,22.5900001525879,3.44,"1482.14",,2023-01-03T13:15:51.000,,Soufriere
"2442",e487095c-34d5-4f2f-9b56-7eee8df28381,StLucia,43.310001373291,21.7999992370605,4.23000001907349,5990.18994140625,Single-family residential,21.0599994659424,,"1416.71",,2023-01-03T13:15:51.000,,Soufriere
"2443",b4a0a018-8bfc-46b0-9bad-9a8ca60398cc,StLucia,73.3899993896484,40.7999992370605,7.92000007629395,12245.9404296875,Single-family residential,24.2800006866455,5.78,"1547.0",,2023-01-03T13:15:51.000,,Soufriere
"2444",bd38a6be-ca13-4f22-8e39-45238bd42d38,StLucia,99.3600006103516,54.1699981689453,10.5100002288818,14283.830078125,Single-family residential,20.5400009155273,3.28,"1359.28",,2023-01-03T13:15:51.000,,Soufriere
"2445",11913a99-b2fc-4eb9-856e-30d55a1642ea,StLucia,129.470001220703,78.9300003051758,15.3100004196167,22692.76953125,Single-family residential,21,2.66,"1482.0",,2023-01-03T13:15:51.000,,Soufriere
"2446",128a7928-1a25-4813-b44c-d5febdad75f3,StLucia,114.269996643066,69.1999969482422,13.4300003051758,17394.880859375,Commercial,9.31999969482422,3.55,"1295.65",,2023-01-03T13:15:51.000,,Soufriere
"2447",24d5379d-8a94-4968-9a6f-8e3c6fd4b417,StLucia,156.509994506836,94.9499969482422,18.4200000762939,25299.44921875,Single-family residential,24.5699996948242,2.97,"1373.45",,2023-01-03T13:15:51.000,,Soufriere
"2448",459dfd30-7eb6-4e98-8f2e-c9d5752f69a6,StLucia,158.910003662109,97.4199981689453,18.8999996185303,24454.990234375,Single-family residential,21.0900001525879,4,"1294.0",,2023-01-03T13:15:51.000,,Soufriere
"2449",ef830c53-39df-433b-ac04-47d72a5ef756,StLucia,206.350006103516,126.620002746582,24.5599994659424,32382.619140625,Single-family residential,20.4699993133545,2.04,"1318.29",,2023-01-03T13:15:51.000,,Soufriere
"2450",f832a613-5666-48f1-9fb4-1e86f20c4679,StLucia,229.210006713867,111.360000610352,21.6000003814697,31602.279296875,Commercial,21.7999992370605,8.1,"1462.84",,2023-01-03T13:15:51.000,,Soufriere
"2451",ede88fc1-ee86-45b0-a94b-26ebc6328444,StLucia,139.880004882813,71.7399978637695,13.9200000762939,19784.099609375,Single-family residential,21.1499996185303,3.94,"1421.44",,2023-01-03T13:15:51.000,,Soufriere
"2452",ecaeca87-98b5-4476-a42b-8cf41ae7ec5c,StLucia,44.310001373291,24,4.65999984741211,6622.6201171875,Single-family residential,22.7600002288818,3.14,"1422.41",,2023-01-03T13:15:51.000,,Soufriere
"2453",7c20ed6c-578e-4cdb-a922-c9cba0475d4d,StLucia,140.059997558594,76.0800018310547,14.7600002288818,22819.599609375,Single-family residential,20.8500003814697,3.37,"1546.0",,2023-01-03T13:15:51.000,,Soufriere
"2454",8d74b1a3-9b29-4ccc-afb8-763b1c91978a,StLucia,143.399993896484,88.3300018310547,17.1399993896484,25342.6796875,Single-family residential,24.1299991607666,4.32,"1478.97",,2023-01-03T13:15:51.000,,Soufriere
"2455",30aee55e-8359-4397-b6cf-c0f9885f910f,StLucia,138.479995727539,84.8499984741211,16.4599990844727,23799.759765625,Single-family residential,23.7700004577637,4.72,"1445.81",,2023-01-03T13:15:51.000,,Soufriere
"2456",4b589879-467d-4999-b452-655df44a5bdb,StLucia,204.149993896484,117.099998474121,22.6900005340576,34518.58984375,Public,23.4799995422363,4.65,"1521.03",,2023-01-03T13:15:51.000,,Soufriere
"2457",fb0c61ba-8c23-41f9-9567-7399d8b6eede,StLucia,210.289993286133,126.879997253418,24.6100006103516,37174.01953125,Single-family residential,22.4300003051758,8.11,"1510.25",,2023-01-03T13:15:51.000,,Soufriere
"2458",d545b5bb-9478-4d6c-a84b-3eb8a9521964,StLucia,202.740005493164,128.75,24.9799995422363,35980.51953125,Schools,5.53000020980835,5.8,"1440.52",,2023-01-03T13:15:51.000,,Soufriere
"2459",6980ccd3-84ae-4e07-8bcb-0b7b16a24af7,StLucia,92.1399993896484,55.2299995422363,10.710000038147,15561.83984375,Single-family residential,23.4699993133545,4.79,"1452.36",,2023-01-03T13:15:51.000,,Soufriere
"2460",c57443e3-d4f4-45ae-945f-e4a5987fde3c,StLucia,18.5,7.96999979019165,1.54999995231628,1929.63000488281,Single-family residential,21.8899993896484,,"1248.0",,2023-01-03T13:15:51.000,,Soufriere
